ID,Title
1,Adaptive dense pyramid network for object detection in UAV imagery
2,Weight-Sharing Neural Architecture Search: A Battle to Shrink the Optimization Gap
3,What should be the input: Investigating the environment representations in sim-to-real transfer for navigation tasks
4,Animal species detection and classification framework based on modified multi-scale attention mechanism and feature pyramid network
5,A-LugSeg: Automatic and explainability-guided multi-site lung detection in chest X-ray images
6,Learning temporal information and object relation for zero-shot action recognition
7,Comparison of YOLO Versions for Object Detection from Aerial Images
8,Deep learning based approach for the instance segmentation of clayey soil desiccation cracks
9,Visual-semantic graph neural network with pose-position attentive learning for group activity recognition
10,Deep learning-based perception systems for autonomous driving: A comprehensive survey
11,Adaptive dense pyramid network for object detection in UAV imagery
12,Failures of photo
13,On the use of deep learning for fish species recognition and quantification on board fishing vessels
14,TeaNet: Universal neural network interatomic potential inspired by iterative electronic relaxations
15,Focus-and-Detect: A small object detection framework for aerial images
16,Adaptive feature fusion for time series classification
17,Pixel-wise triplet learning for enhancing boundary discrimination in medical image segmentation
18,Wearable ultraviolet sensor based on convolutional neural network image processing method
19,Detecting rocks in challenging mining environments using convolutional neural networks and ellipses as an alternative to bounding boxes
20,Computational analysis of histological images from hematoxylin and eosin-stained oral epithelial dysplasia tissue sections
21,CorrDetector: A framework for structural corrosion detection from drone images using ensemble deep learning
22,Adaptive multi-task learning for cross domain and modal person re-identification
23,Automatic Parotid Gland Segmentation in MVCT Using Deep Convolutional Neural Networks
24,Deep Learning-Based Pothole Detection for Intelligent Transportation Systems
25,An Efficient Object Navigation Strategy for Mobile Robots Based on Semantic Information
26,Optimizing Latent Distributions for Non-Adversarial Generative Networks
27,Graph Moving Object Segmentation
28,Auto-Encoding and Distilling Scene Graphs for Image Captioning
29,Ship Segmentation and Georeferencing from Static Oblique View Images
30,MMH-GGCNN: Multi-Modal Hierarchical Generative Grasping Convolutional Neural Network
31,An anchor-free object detector based on soften optimized bi-directional FPN
32,BacklitNet: A dataset and network for backlit image enhancement
33,A review on vision-based analysis for automatic dietary assessment
34,Instance segmentation of biological images using graph convolutional network
35,A novel method of predictive collision risk area estimation for proactive pedestrian accident prevention system in urban surveillance infrastructure
36,Bayberry segmentation in a complex environment based on a multi-module convolutional neural network
37,Vision-based method for tracking workers by integrating deep learning instance segmentation in off-site construction
38,Performance evaluation of CNN-based pedestrian detectors for autonomous vehicles
39,Enhancing representation learning by exploiting effective receptive fields for object detection
40,Global Mask R-CNN for marine ship instance segmentation
41,Joint-attention feature fusion network and dual-adaptive NMS for object detection
42,Multi-scale visual attention for attribute disambiguation in zero-shot learning
43,A lightweight detector based on attention mechanism for aluminum strip surface defect detection
44,A synthetic datasets based instance segmentation network for High-throughput soybean pods phenotype investigation
45,Differentially private facial obfuscation via generative adversarial networks
46,CORF3D contour maps with application to Holstein cattle recognition from RGB and thermal images
47,Generalized Zero-Shot Learning using Identifiable Variational Autoencoders
48,SibNet: Food instance counting and segmentation
49,Brain tumor segmentation based on region of interest-aided localization and segmentation U-Net
50,Deep Learning on Monocular Object Pose Detection and Tracking: A Comprehensive Overview
51,Text Recognition in the Wild
52,All-content text recognition method for financial ticket images
53,Programming to Identify Exfoliated 2D Nanosheets Using Machine Learning
54,H-SegNet: hybrid segmentation network for lung segmentation in chest radiographs using mask region-based convolutional neural network and adaptive closed polyline searching method
55,Scene text detection via decoupled feature pyramid networks
56,LiteReconfig
57,Framework for Automatic Coral Reef Extraction Using Sentinel-2 Image Time Series
